"Sản phẩm","Giá (đồng/kg kham khảo):","Chu kỳ (ngày):","Tháng xuất hiện bệnh :","Các bệnh/sâu thường gặp :","Tưới – Bón phân :"
"Lúa vụ Đông Xuân","7500","100","11 – 12","Sâu cuốn lá nhỏ, rầy phấn trắng, ốc bươu, chuột, bệnh “đạo ôn lá”","Tưới sau 10–15 ngày sạ; bón phân theo lịch chuyên môn"
"Lúa vụ Hè Thu","7300","95","8 – 9","Các sâu bệnh tương tự như Đông Xuân (sâu cuốn lá, rầy, ốc bươu, chuột)","Tưới định kỳ; bón phân đều theo lịch vụ"
"Thanh long Châu Thành","60000","120","7","Sâu ấu trùng, rầy lá, bệnh nấm (đốm lá, mục nát)","Tưới 2 lần/ngày; bón phân hữu cơ"
"Chanh không hạt Bến Lức","28000","90","3 – 4","Sâu bọ, rầy sáp, nấm phấn trắng","Tưới 2 lần/ngày; bón phân cân đối, tưới rửa mặn khi cần"
"Rau sạch","15000","20","10","Aphids, whiteflies, leaf spot, mốc","Tưới nhỏ giọt; bón phân hữu cơ theo chu kỳ"
"Mía","2000","150","12","Bọ xít, sâu cuốn lá, bệnh nấm","Tưới đều; bón phân hữu cơ theo lịch trình sản xuất"
"Cam sành","22500","120","1","Sâu bọ, bệnh anthracnose","Tưới đều; bón phân định kỳ"
"Xoài","35000","120","7","Mối, bệnh anthracnose","Tưới đều; bón phân theo chu kỳ"
"Bưởi","30000","120","9","Sâu bọ, mối, bệnh canker","Tưới đều; bón phân đầy đủ, kiểm soát sâu bệnh"
"Dừa tươi","50000","365","6","Red palm weevil, nấm","Tưới định kỳ; bón phân hữu cơ"
"Chôm chôm","45000","100","7","Anthracnose, mục nát","Tưới nhẹ; bón phân hợp lý theo nhu cầu"
"Đậu phộng","32500","150","9","Aphids, leaf spot","Tưới vừa; bón phân đều"
"Khoai mỡ","13500","100","10","Nấm, rêu, wireworms","Tưới vừa; bón phân định kỳ"
"Khoai mì (sắn)","9000","90","8","Mục nát, sâu cuốn lá","Tưới đều; bón phân theo chu kỳ"
"Rau muống","13500","20","11","Aphids, leaf spot","Tưới nhỏ giọt; bón phân hữu cơ"
"Cải bẹ xanh","15000","25","12","Aphids, cabbage worms, nấm","Tưới đều; bón phân nhẹ, theo dõi sớm"
"Cà chua","20000","60","1","Tomato fruit borer, aphids, powdery mildew","Tưới đều; bón phân cân đối theo khuyến cáo"
"Ớt","22500","60","1","Aphids, thrips, powdery mildew","Tưới đều; bón phân hợp lý, phòng ngừa sớm"
